source_id	path	kind	locator	body_sha
s24299b299011	.clinerules/caveman.md	hunk	-0,0 +1,15	ea66c03e2d89
sb3a3271b562a	.config/nextest.toml	hunk	-0,0 +1,9	faeec506218c
s3efabbcbf058	.cursor/rules/caveman.mdc	hunk	-0,0 +1,20	5044db9d7761
sb520ed578ff7	.github/copilot-instructions.md	hunk	-0,0 +1,15	ea66c03e2d89
s55b507004094	.github/workflows/ci.yml	hunk	-32,0 +36,3	a7cd00060f13
s470f96b9da22	.github/workflows/ci.yml	hunk	-7,0 +8,3	a7cd00060f13
sdf388aaed453	.github/workflows/ci.yml	hunk	-913,0 +920,14	c9d394f51607
sa5fc7daa0357	.gitignore	hunk	-70,0 +71	938085c3622f
sce7c41948cac	.gitignore	hunk	-94,0 +96,3	1f6b43f32756
sffe6a133fad2	.windsurf/rules/caveman.md	hunk	-0,0 +1,19	0143591a09a2
se75f97efce9b	.work-project	hunk	-0,0 +1	4e39158122e5
s1103f76c4c1b	AGENTS.md	hunk	-298,0 +299,16	a987aed73e97
s5dbec56f8d40	WATCHDOG.yml	hunk	-0,0 +1,12	8ff82eb1e714
sff7bcc352748	bun.lock	hunk	-317,0 +318,7	f7186e2f4aac
sa4dda95f56e4	bun.lock	hunk	-755,0 +763,2	6113d6a72ffc
s69da6629a541	crates/pi-builtins/src/pgrep.rs	hunk	-100 +100,3	7b271fd3cf0e
sa45617ea45f3	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/anomaly-report-4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945.json.gpg	hunk	-0,0 +1,2	80adc1918df5
s216281811cce	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-attachments-0-82baa8dba69aa94f85deaa9054533490b11847669f7bff70c03f99c23d896650.json.gpg	hunk	-0,0 +1,2	8377636f237c
s278a3485f7cd	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-comments-0-0460a977034fc5d60f68c5a44623632914747f968c7abbf7df43d4426679b032.json.gpg	binary	binary	000000000000>b854294064e3
sbbb91e406d58	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-initiativeToProjects-0-cf0ab94399adc54a0b51acd63002b6bb81deaa39b81bc4d96635ca72314c070e.json.gpg	binary	binary	000000000000>c77a4a4f57a0
sbfad82c62bda	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-initiatives-0-aba446376378c7eacc8705d693d4303adb71228a6cb2a152de250c19c33f3328.json.gpg	hunk	-0,0 +1,4	14903e47fcbc
scefe90d40d68	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-issueLabels-0-c25af5e31334ba2776101d23a6de12438e8f0ea7d5951317a96a87cb95751bc0.json.gpg	binary	binary	000000000000>6d9db062ac8c
s30d2243ff892	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-issueRelations-0-1f75db96d0cdc6d731e40b031ae58fc258368296c7c3d3af79e357f2808ded45.json.gpg	binary	binary	000000000000>c7ab03aab51c
s27677fce59a5	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-issues-0-5dcf113f82ce4d3921cfa6f25b87194d734a443bef166614ac216731f4c47ac6.json.gpg	hunk	-0,0 +1,5	3bb788eee977
s8697b3d1fa4c	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-projectMilestones-0-25841d5bd28951b7569d8c1ddd7c9c343773513e8b671bb13abe98a38d4270ee.json.gpg	binary	binary	000000000000>9e0fc28a1256
s4dd0f71467f0	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-projectUpdates-0-e31c03ad4eb7d2ce629ff4b595ef68b88605fbdf1606dc26df5ffe80183f029c.json.gpg	binary	binary	000000000000>f3bb0eb4c153
s40fd9db01c63	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-projects-0-9e5802fd0f751063f3ed5adfc79cfafaaffb33d8832d31248686e5be4574e5aa.json.gpg	binary	binary	000000000000>3daf346560eb
sc6db8209e04c	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-teams-0-1820149de12392ed153b92f598db40120d575e8fffb8cbf11da96e603a9967e7.json.gpg	binary	binary	000000000000>b9b37894f9f9
sb0728f45d51d	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/delta-workflowStates-0-fcadda8c16735fdca0bd3c04a853fb01ca7bb882fc8d8c6d096e414260a9a649.json.gpg	binary	binary	000000000000>a5b3c9913732
s5d1397e1375b	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/manifest-4ea70db806de4fb0a5cf62da25e7465399d2eb2160e72f08d3ae05ce6ff3d9d1.json.gpg	binary	binary	000000000000>9551c1ef5443
s82f87a7c1f9c	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/privacy-report-b38b66b418fb129209f1c8a1a226eb2a15c5a021f5227644fb5e6597a02333e4.json.gpg	binary	binary	000000000000>19bae2b3c2cf
sd1e99a2a6d88	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/scope-report-24da03b4131572907f1cec73b9141ac214b8ac1cb337edae2d16098cd2cb7aa4.json.gpg	binary	binary	000000000000>2336c02c4928
saa4e1dc7e919	data/linear-export/825e3ef4-4094-4b20-97da-64a7c477a306/source-hashes-08826c0c8248bb5048b78068a1f6d5823a68c9dcda3d1350d624632c8a1dace1.json.gpg	binary	binary	000000000000>46f53969cbc1
s9c4d385ae93d	data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/anomaly-report-4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945.json.gpg	hunk	-0,0 +1,2	acf10c094c3a
se18a73ff5801	data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-attachments-0-cf94ef6b31dcd73d2e6157772d91df43a6a34226e526eba69c5f7b06a0b7b129.json.gpg	hunk	-0,0 +1,2	c8e08fc5b4c2
sa829e3d3ecf4	data/linear-export/c4e848b6-2e4f-423a-a502-c66e0f37e746/delta-comments-0-ac7f801fc8d461a39b5f830496f65c9d6edd144da21b0164649e04d7ef69a7e2.json.gpg	hunk	-0,0 +1,5	ca89b028f6f2
